day,the-graph,thorchain
0,0.7927610055419337,12.635689391705172
1,0.7672520440787538,11.518052565679907
2,0.7684248935108314,12.386739385401532
3,0.9557217335517312,13.259314353165868
4,0.8057796379922695,11.599027781739158
5,0.7535517692438106,10.605181098197678
6,0.7808752691859693,10.76178944197271
7,0.6906647458043389,9.1077726761276
8,0.6963061507068119,9.13621453357963
9,0.7100016519843966,9.713113304576117
10,0.6650664773455399,8.482381485549118
11,0.6145807250174995,7.2610852027755906
12,0.6048091270857081,7.102921277636621
13,0.6898823879774348,8.37897089340737
14,0.6826246725360617,8.975694627567771
15,0.7216016032973417,9.910972551462516
16,0.6772023386994743,9.284841989433625
17,0.6867482842061737,8.745879273622759
18,0.6127467728524579,8.08831967140152
19,0.605060779755478,7.334491073726325
20,0.6435038274376145,8.33777630369448
21,0.5097361607592847,6.061621321618198
22,0.49026038236336084,5.2753700684219105
23,0.6047563955788657,5.591259088936473
24,0.6008317412644901,6.3388394036396205
25,0.5369215384268905,5.4878780154096845
26,0.541936845887373,5.372645029840152
27,0.5583786034220222,6.053260758319554
28,0.5709470239682546,6.315331267381764
29,0.5786294203909497,6.597427946542584
30,0.5894868890410061,6.7802571151474496
31,0.5427371957343236,6.221112639512741
32,0.5966645379839131,5.825019668768228
33,0.6776505416691954,6.002629221980188
34,0.7193505943949067,6.2510758173925565
35,0.7429333762786116,6.1427888474692915
36,0.7048732196005232,6.988596975855351
37,0.7096509319712495,7.0792833773665915
38,0.6531992237695852,6.205479813255708
39,0.6929874486934617,6.264360127399128
40,0.6861796609504136,6.161563432019884
41,0.7117748562571755,6.283150632419794
42,0.6775512352370373,6.092044377812517
43,0.6321935863126562,5.609410844056786
44,0.6379281581271005,5.758645234638002
45,0.5964136254180264,4.804343868831032
46,0.5798610757558543,4.61733187546518
47,0.5592277749673056,4.244100599823104
48,0.555824773346695,4.206406044112625
49,0.5084893658894116,3.7070448370417592
50,0.4963278087852721,3.567617620453843
51,0.5555296597827929,4.2848167807752855
52,0.5560852957407555,3.5834144292816497
53,0.5537503697822196,3.8352173050293814
54,0.549512858226331,3.6018818349192894
55,0.5434576608577973,3.5518859302497345
56,0.5495511276293648,3.890467541195784
57,0.5654611391969657,3.969700728020477
58,0.5591572077128826,4.702168688520374
59,0.5895028071978583,5.4640603661740075
60,0.5970999840461011,6.305167084301662
61,0.6304894629966208,6.503522010810187
62,0.6598788314665908,6.044008449680634
63,0.6948885988431875,7.3070084597664
64,0.6485123944242086,6.818828704025158
65,0.6680880811158199,7.8865002830237225
66,0.7002381834720888,8.090108365820848
67,0.7019491227266617,7.783787929899724
68,0.7303767965178481,7.589583201273336
69,0.6697749146821048,6.676076483569526
70,0.7085074936847148,6.834234304741661
71,0.7466497029439596,7.049156760485337
72,0.7987769538508231,7.0307286398741
73,0.8757341237396757,6.790612329856567
74,0.9247153259168952,7.315206746210782
75,0.8991332549972092,7.784731962823556
76,0.8988958672483965,8.419936280541263
77,0.8580173434363535,8.669258621745268
78,0.8678585300058274,8.372056667553279
79,0.8611187511167531,8.252934485994707
80,0.9640101434568847,8.775846760633598
81,1.0384923795765595,9.30724833670149
82,0.9923523173578741,11.213203468285887
83,1.066816567304107,10.592724373567215
84,1.0250070434498852,11.426321324462512
85,0.9273962551631193,10.415547207161884
86,0.9530183444477175,10.458277498454196
87,0.8784402206712048,9.564464799551455
88,0.9209399938594488,10.324641898640593
89,0.9157806276917263,9.967629522496399
90,0.9212263301099493,9.907035015871305
91,0.8525138324729717,9.541312792227407
92,0.8570876216523535,9.91586828949847
93,0.9212416980089426,10.693763235036043
94,0.9106832559299423,10.413995493482629
95,0.913851574386887,10.188098317223426
96,0.9538221256760167,10.307629747949711
97,1.021864960542838,10.370076693029022
98,1.0681302247265405,11.724684788408533
99,0.8292848379582012,9.586220457398516
